,depa_nombre,muni_nombre,nombre_prestador,codigo_habilitacion,numero_sede,sede_nombre,nits_nit,dv,clase_persona,naju_codigo,naju_nombre,clpr_codigo,clpr_nombre,ese,nivel,caracter,habilitado,grupo_capacidad,coca_codigo,coca_nombre,cantidad,numero_sede_principal,numero_placa,modalidad,modelo,numero_tarjeta,fecha_corte_REPS,direccion,email,telefono,razon_social,fax,gerente,fecha_radicacion,fecha_vencimiento,fecha_cierre,telefono_adicional,email_adicional,rep_legal
14,Bogotá D.C,BOGOTÁ,COOPERATIVA PARA LA SALUD ORAL ORALCOOP,1100100032,01,COOPERATIVA PARA LA SALUD ORAL ORALCOOP,830000001,9,JURIDICO,1,Privada,1,Instituciones - IPS,NO,,,SI,CONSULTORIOS,31,Consulta Externa,5,01,,,0,,Fecha corte REPS: Sep 19 2022 2:23PM,KR 64 # 100 55,oralcoop@oralcoop.com,5330539-3134241468,COOPERATIVA PARA LA SALUD ORAL ORALCOOP,5330579,,20030107,20230831,,,,CLAUDIA PATRICIA POLANCO PERDOMO
50,Bogotá D.C,BOGOTÁ,INVERSIONES DAMA SALUD SAS,1100100130,02,SONRIA DAMA SALUD SEDE RESTREPO,830108482,3,JURIDICO,1,Privada,1,Instituciones - IPS,NO,,,SI,CONSULTORIOS,31,Consulta Externa,14,23,,,0,,Fecha corte REPS: Sep 19 2022 2:23PM,DIAGONAL 19 SUR No 20 -39,coordinadorhabilitacion@sonria.com.co,3665265,INVERSIONES DAMA SALUD SAS,,,20061117,20230831,,,,JUAN CARLOS GIRALDO CERQUERA
51,Bogotá D.C,BOGOTÁ,INVERSIONES DAMA SALUD SAS,1100100130,03,SONRIA DAMA SALUD SEDE QUIRIGUA,830108482,3,JURIDICO,1,Privada,1,Instituciones - IPS,NO,,,SI,CONSULTORIOS,31,Consulta Externa,5,23,,,0,,Fecha corte REPS: Sep 19 2022 2:23PM,TV 94A # 80A 91,coordinadorhabilitacion@sonria.com.co,4425296,INVERSIONES DAMA SALUD SAS,,,20061117,20230831,,,,JUAN CARLOS GIRALDO CERQUERA
52,Bogotá D.C,BOGOTÁ,INVERSIONES DAMA SALUD SAS,1100100130,04,SONRIA DAMA SALUD SEDE GALERIAS,830108482,3,JURIDICO,1,Privada,1,Instituciones - IPS,NO,,,SI,CONSULTORIOS,31,Consulta Externa,5,23,,,0,,Fecha corte REPS: Sep 19 2022 2:23PM,AC 53 N 25 - 03 LC,coordinadorhabilitacion@sonria.com.co,3580424,INVERSIONES DAMA SALUD SAS,,,20061117,20230831,,,,JUAN CARLOS GIRALDO CERQUERA
53,Bogotá D.C,BOGOTÁ,INVERSIONES DAMA SALUD SAS,1100100130,04,SONRIA DAMA SALUD SEDE GALERIAS,830108482,3,JURIDICO,1,Privada,1,Instituciones - IPS,NO,,,SI,UNIDAD MOVIL,64,Unidad Móvil,1,23,WOY939,TERRESTRE,2017,10013925288,Fecha corte REPS: Sep 19 2022 2:23PM,AC 53 N 25 - 03 LC,coordinadorhabilitacion@sonria.com.co,3580424,INVERSIONES DAMA SALUD SAS,,,20061117,20230831,,,,JUAN CARLOS GIRALDO CERQUERA
54,Bogotá D.C,BOGOTÁ,INVERSIONES DAMA SALUD SAS,1100100130,05,SONRIA DAMA SALUD SEDE KENNEDY,830108482,3,JURIDICO,1,Privada,1,Instituciones - IPS,NO,,,SI,CONSULTORIOS,31,Consulta Externa,8,23,,,0,,Fecha corte REPS: Sep 19 2022 2:23PM,AK 80 No 55 - 37 SUR LC,coordinadorhabilitacion@sonria.com.co,7824756,INVERSIONES DAMA SALUD SAS,,,20061117,20230831,,,,JUAN CARLOS GIRALDO CERQUERA
55,Bogotá D.C,BOGOTÁ,INVERSIONES DAMA SALUD SAS,1100100130,07,SONRIA DAMA SALUD SEDE AV 68,830108482,3,JURIDICO,1,Privada,1,Instituciones - IPS,NO,,,SI,CONSULTORIOS,31,Consulta Externa,5,23,,,0,,Fecha corte REPS: Sep 19 2022 2:23PM,AC 72 No. 76 - 76,coordinadorhabilitacion@sonria.com.co,2230775,INVERSIONES DAMA SALUD SAS,,,20061117,20230831,,,,JUAN CARLOS GIRALDO CERQUERA
56,Bogotá D.C,BOGOTÁ,INVERSIONES DAMA SALUD SAS,1100100130,08,SONRIA DAMA SALUD SEDE FONTIBON,830108482,3,JURIDICO,1,Privada,1,Instituciones - IPS,NO,,,SI,CONSULTORIOS,31,Consulta Externa,8,23,,,0,,Fecha corte REPS: Sep 19 2022 2:23PM,CRA 99 # 18 04,coordinadorhabilitacion@sonria.com.co,2984202,INVERSIONES DAMA SALUD SAS,,,20061117,20230831,,,,JUAN CARLOS GIRALDO CERQUERA
57,Bogotá D.C,BOGOTÁ,INVERSIONES DAMA SALUD SAS,1100100130,09,SONRIA DAMA SALUD SEDE SUBA,830108482,3,JURIDICO,1,Privada,1,Instituciones - IPS,NO,,,SI,CONSULTORIOS,31,Consulta Externa,8,23,,,0,,Fecha corte REPS: Sep 19 2022 2:23PM,CRA 92 # 147 68 LOCAL 22,coordinadorhabilitacion@sonria.com.co,6819121,INVERSIONES DAMA SALUD SAS,,,20061117,20230831,,,,JUAN CARLOS GIRALDO CERQUERA
58,Bogotá D.C,BOGOTÁ,INVERSIONES DAMA SALUD SAS,1100100130,10,SONRIA DAMA SALUD SEDE TECHO,830108482,3,JURIDICO,1,Privada,1,Instituciones - IPS,NO,,,SI,CONSULTORIOS,31,Consulta Externa,6,23,,,0,,Fecha corte REPS: Sep 19 2022 2:23PM,CARRERA 78 B NO 38 C 23 SUR,coordinadorhabilitacion@sonria.com.co,3580454,INVERSIONES DAMA SALUD SAS,,,20061117,20230831,,,,JUAN CARLOS GIRALDO CERQUERA
59,Bogotá D.C,BOGOTÁ,INVERSIONES DAMA SALUD SAS,1100100130,11,SONRIA DAMA SALUD SEDE TUNAL,830108482,3,JURIDICO,1,Privada,1,Instituciones - IPS,NO,,,SI,CONSULTORIOS,31,Consulta Externa,5,23,,,0,,Fecha corte REPS: Sep 19 2022 2:23PM,CR 25 # 48 - 09 SUR,coordinadorhabilitacion@sonria.com.co,2049827,INVERSIONES DAMA SALUD SAS,,,20061117,20230831,,,,JUAN CARLOS GIRALDO CERQUERA
